Construct,Type,On/Off Ratio,LOD,EC10,EC90,Kd,Hill (n),Beta,Rho,R2
HD1,Activator,32.36,0.03,1.8,7.99,3.79 ± 0.60,2.95 ± 0.49,0.044,122414.7,0.987
HD2,Repressor,454.87,0.47,5.54,2.95,4.04 ± 0.70,6.98 ± 3.33,0.002,2040726.0,0.961
HD3,Repressor,32.98,0.74,5.88,2.6,3.91 ± 0.42,5.38 ± 1.37,0.032,52097.7,0.982
HD4,Repressor,1.93,5211.91,814.68,514.54,647.45 ± 0.00,9.56 ± 0.00,0.983,1240625.9,-0.185
