Construct,Type,On/Off Ratio,LOD,EC10,EC90,Kd,Hill (n),Beta,Rho,R2
LD1,Activator,10.92,1.11,4.03,195.88,28.09 ± 5.49,1.13 ± 0.15,0.10555,1259423.8,0.992
LD2,Repressor,13.38,1.41,8.82,0.55,2.20 ± 0.43,1.58 ± 0.30,0.08295,1544677.9,0.989
LD3,Repressor,7.51,3.60,50.76,0.1,2.22 ± 0.94,0.70 ± 0.21,0.05417,1094890.1,0.986
LD4,Activator,3.10,1745.51,23.09,4330689.66,10000.00 ± 399732.66,0.36 ± 0.50,0.04477,3622410.0,0.927
