Construct,Type,On/Off Ratio,LOD,EC10,EC90,Kd,Hill (n),Beta,Rho,R2
BD1,Activator,20.92,10.35,1203.84,83023.48,9997.35 ± 624893.58,1.04 ± 0.26,0.00048,23982170.4,0.977
BD2,Activator,14.28,0.98,40.07,645.23,160.79 ± 39.39,1.58 ± 0.07,0.0286,226359.3,1.0
BD3,Repressor,61.73,6.16,23.96,1.11,5.15 ± 0.20,1.43 ± 0.05,0.00265,241000.1,0.999
BD4,Repressor,128.70,0.56,14.02,0.66,3.03 ± 0.22,1.43 ± 0.10,0.0,148661.8,0.996
